"ID_CHERCHEUR";"CIN_CHERCHEUR";"NOM_CHERCHEUR";"PRENOM_CHERCHEUR";"AGE_CHERCHEUR";"TELEPHONE_CHERCHEUR";"EMAIL_CHERCHEUR"
"61";"55";"benhenda";"kassem";"20";"11";"kassem.benhenda@esprit.tn"
"67";"33";"mejri";"kalthoum";"40";"666";"ijhd@hdbh.jnhbg"
"64";"44";"ameni";"hosni";"17";"5555";"ameni.hosni@esprit.tn"
"65";"55";"Khiari";"Sana";"20";"111";"sana.khiari@esprit.tn"
"66";"22";"belhadef";"ghofrane";"10";"234567888";"ghofrane.belhadef@esprit.tn"
"71";"229";"belGassem";"fedi";"13";"0";"fedi.belGassem@esprit.tn"
"85";"900";"test";"stat";"79";"4444444";"jskdhn.shgd@jbd.skj"
"82";"999";"amineBRO";"khiari";"30";"1200";"amine.khiari@gmail.com"
"101";"9";"SANA";"KHIARI";"9";"111000";"SANAJKHUHD@JNFTN.tn"
"86";"901";"test";"statist";"75";"444444488";"jskdhn.shgd@jbd.skj"
"104";"1009";"HIS";"TORIQUE";"1";"123456789";"HUGYFTD@GHC.uu"
"106";"177";"RR";"TT";"2";"12345888";"ERFG@RFEGN.FKR"
"110";"25677";"EXECEL";"TT";"1";"12345";"EZF.CHB@HBFF.DD"
